"","Rank","Company","Ticker","Sector","Industry","Profitable","Founder_is_CEO","FemaleCEO","Growth_in_Jobs","Change_in_Rank","Gained_in_Rank","Dropped_in_Rank","Newcomer_to_the_Fortune500","Global500","Best_Companies","Number_of_employees","MarketCap_March31_M","RevenuePercentChange","ProfitsPercentChange","CEO","Country","HeadquartersCity","HeadquartersState","Website","CompanyType","Footnote","Revenues","Abs_Profits","Assets","MarketCap_March31"
"550",550,"Victoria's Secret","VSCO","Retailing","Specialty Retailers: Apparel","yes","false","false","no",-70,"no","yes","n/a","no","no",22500,2655,-6.5,-46.1,"Martin P. Waters","U.S.","Reynoldsburg","OH","www.victoriassecretandco.com","Public","Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",6.344e+09,3.48e+08,4.711e+09,2.655e+09
"551",551,"Hanesbrands","HBI","Apparel","Apparel","no","false","false","no",-93,"no","yes","n/a","no","no",50500,1838,-13.8,-264.7,"Stephen B. Bratspies","U.S.","Winston-Salem","NC","www.hanes.com","Public","Includes revenues from discontinued operations. Market value as of March 31, 2023.",6.335e+09,1.27e+08,6.504e+09,1.838e+09
"552",552,"Select Medical Holdings","SEM","Health Care","Health Care: Medical Facilities","yes","false","false","yes",-39,"no","yes","n/a","no","no",45800,3288,2.1,-60.5,"David S. Chernow","U.S.","Mechanicsburg","PA","www.selectmedicalholdings.com","Public","Market value as of March 31, 2023.",6.334e+09,1.59e+08,7.665e+09,3.288e+09
"553",553,"Concentrix","CNXC","Technology","Information Technology Services","yes","false","false","yes",4,"yes","no","n/a","no","no",315000,6223,13.2,7.3,"Christopher A. Caldwell","U.S.","Newark","CA","www.concentrix.com","Public","Figures are for fiscal year ended Nov. 30, 2022. Market value as of March 31, 2023.",6.325e+09,4.35e+08,6.67e+09,6.223e+09
"554",554,"Ryerson Holding","RYI","Materials","Metals","yes","false","false","yes",-5,"no","yes","n/a","no","no",4200,1291,11.4,32.9,"Edward J. Lehner","U.S.","Chicago","IL","www.ryerson.com","Public","Market value as of March 31, 2023.",6.324e+09,3.91e+08,2.334e+09,1.291e+09
"555",555,"NetApp","NTAP","Technology","Computers, Office Equipment","yes","false","false","yes",-13,"no","yes","n/a","no","no",12000,13658,10,28.4,"George Kurian","U.S.","San Jose","CA","www.netapp.com","Public","Figures are for fiscal year ended April 30, 2022. Market value as of March 31, 2023.",6.318e+09,9.37e+08,1.0026e+10,1.3658e+10
"556",556,"Monster Beverage","MNST","Food, Beverages & Tobacco","Beverages","yes","false","false","yes",8,"yes","no","n/a","no","no",4952,56431,13.9,-13.5,"Rodney C. Sacks/Hilton H. Schlosberg","U.S.","Corona","CA","www.monsterbevcorp.com","Public","Market value as of March 31, 2023.",6.311e+09,1.192e+09,8.293e+09,5.6431e+10
"557",557,"Meritage Homes","MTH","Engineering & Construction","Homebuilders","yes","false","false","yes",31,"yes","no","n/a","no","no",1921,4293,22.4,34.5,"Phillippe Lord","U.S.","Scottsdale","AZ","www.meritagehomes.com","Public","Market value as of March 31, 2023.",6.292e+09,9.92e+08,5.772e+09,4.293e+09
"558",558,"Old Dominion Freight Line","ODFL","Transportation","Trucking, Truck Leasing","yes","false","false","no",20,"yes","no","n/a","no","no",23471,37501,19.1,33.1,"Kevin M. Freeman","U.S.","Thomasville","NC","www.odfl.com","Public","Market value as of March 31, 2023.",6.26e+09,1.377e+09,4.839e+09,3.7501e+10
"559",559,"Nasdaq","NDAQ","Financials","Securities","yes","false","true","yes",-27,"no","yes","n/a","no","no",6377,26734,5.8,-5.2,"Adena T. Friedman","U.S.","New York","NY","www.nasdaq.com","Public","Market value as of March 31, 2023.",6.226e+09,1.125e+09,2.0868e+10,2.6734e+10
"560",560,"Intuitive Surgical","ISRG","Health Care","Medical Products and Equipment","yes","false","false","yes",-15,"no","yes","n/a","no","no",12120,89480,9,-22.4,"Gary S. Guthart","U.S.","Sunnyvale","CA","www.intuitive.com","Public","Market value as of March 31, 2023.",6.222e+09,1.322e+09,1.2974e+10,8.948e+10
"561",561,"Ralph Lauren","RL","Apparel","Apparel","yes","false","false","yes",97,"yes","no","n/a","no","no",17850,7698,41.3,NA,"Patrice Louvet","U.S.","New York","NY","www.ralphlauren.com","Public","Figures are for fiscal year ended March 31, 2022. Market value as of March 31, 2023.",6.219e+09,6e+08,7.725e+09,7.698e+09
